name,Age,Overall,Potential,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Position,Height,Weight,Release Clause
A. Boyle,27,66,68,4K,1539,Left,1,2,2,CB,5'10,170lbs,
V. Kravets,20,66,76,2K,1581,Left,1,3,2,LB,6'1,172lbs,1.6M
N. Law,30,66,66,4K,1789,Right,1,3,3,LM,5'10,161lbs,1.1M
Basilio,34,66,66,2K,1059,Right,1,3,1,GK,6'1,183lbs,403K
K. Pearce,28,66,66,6K,1505,Right,1,3,2,CB,6'2,209lbs,919K
M. Edwards,19,66,84,10K,1641,Left,1,3,4,RM,5'9,134lbs,
P. Brożek,35,66,66,2K,1627,Right,1,4,2,ST,5'11,159lbs,405K
L. Ravanelli,21,66,75,9K,1503,Right,1,3,2,RCB,6'2,165lbs,
A. Taylor,27,66,67,5K,1497,Right,1,2,2,RCB,6'4,168lbs,1.1M
M. Nalepa,25,66,71,3K,1579,Right,1,2,2,RCB,6'3,176lbs,1M
Lee Myung Jae,24,66,70,2K,1661,Left,1,3,3,LB,5'11,165lbs,928K
Tang Xin,27,66,66,4K,1551,Left,1,2,2,LB,5'10,163lbs,1.1M
A. Arregui,25,66,69,3K,1802,Right,1,3,2,RCM,5'9,163lbs,1M
H. El Sayed,26,66,67,8K,1673,Left,1,3,2,LB,5'7,150lbs,1.1M
D. Horst,32,66,66,2K,1311,Right,1,3,2,CB,6'4,209lbs,563K
Álex Barrera,27,66,67,2K,1679,Right,1,3,3,CM,6'3,172lbs,1.2M
Ricardo Vaz,23,66,71,2K,1599,Right,1,3,3,LM,5'8,150lbs,1.4M
L. Röser,24,66,72,6K,1649,Right,1,3,3,ST,6'0,170lbs,1.6M
C. Feraud,27,66,66,4K,1741,Right,1,3,2,CDM,5'6,134lbs,908K
R. Eckardt,28,66,66,1K,1701,Right,1,2,2,RDM,5'10,154lbs,943K
K. Heerings,28,66,66,3K,1459,Left,1,2,2,CB,6'3,179lbs,761K
Lorenzao Masca,34,66,66,9K,1758,Right,1,3,3,ST,5'8,148lbs,665K
M. Ojeda,19,66,80,3K,1575,Left,1,3,3,LM,5'10,163lbs,2.9M
M. Ndockyt,19,66,76,3K,1555,Left,1,3,2,CAM,5'10,139lbs,
P. Funk,28,66,66,1K,1803,Right,1,3,2,LCM,5'10,170lbs,761K
M. Fallatah,30,66,66,11K,1636,Right,1,3,3,ST,5'10,146lbs,1.1M
Euller,23,66,74,7K,1858,Left,1,2,3,LB,5'9,161lbs,1.5M
Liao Lisheng,25,66,73,5K,1836,Right,1,3,2,CDM,5'11,154lbs,1.9M
S. Findlay,22,66,75,2K,1488,Left,1,3,2,LCB,6'3,181lbs,1.7M
H. Sönmez,27,66,66,6K,1684,Right,1,2,3,ST,5'11,165lbs,1.4M
W. Norris,24,66,72,10K,1062,Left,1,3,1,GK,6'3,179lbs,1.4M
M. Spano Rahou,23,66,71,2K,1509,Right,1,3,2,LCB,6'0,174lbs,1.3M
L. Zarandia,22,66,76,2K,1672,Left,1,3,4,RM,5'10,163lbs,1.6M
Fábinho,33,66,66,2K,1801,Left,1,2,3,LB,5'7,150lbs,375K
Zé Manuel,27,66,66,2K,1711,Right,1,4,3,LW,5'10,157lbs,1.4M
B. Innocent,22,66,77,2K,1744,Right,1,3,3,CDM,5'11,154lbs,1.5M
L. Page,22,66,75,3K,1601,Left,1,3,2,LB,5'10,159lbs,1.7M
B. Van Durmen,21,66,74,3K,1720,Left,1,3,2,CDM,6'1,174lbs,1.4M
Jano,31,66,66,5K,1700,Right,1,3,2,RCM,6'2,172lbs,616K
E. Larsson,26,66,67,2K,1842,Right,1,4,2,RWB,5'9,150lbs,859K
M. Ehmer,26,66,66,3K,1712,Right,1,3,2,RCB,6'2,165lbs,963K
V. Solomon-Otabor,22,66,77,7K,1641,Right,1,3,3,LM,5'9,170lbs,2.3M
V. Janjičić,19,66,76,2K,1722,Right,1,3,2,CDM,5'11,181lbs,1.6M
R. Blanco,28,66,66,2K,1621,Left,1,3,3,CAM,5'4,141lbs,878K
N. Toko,27,66,66,8K,1896,Right,1,3,3,RDM,5'9,154lbs,1.1M
J. Rafferty,24,66,71,2K,1688,Right,1,3,2,RB,6'0,165lbs,1.3M
Higinio,24,66,71,3K,1593,Right,1,2,2,ST,6'0,174lbs,1.5M
Danilo Sacrio,26,66,66,7K,1621,Right,1,3,3,ST,5'9,159lbs,1.3M
T. Szántó,22,66,76,5K,1820,Right,1,3,3,CAM,5'10,161lbs,1.8M
N. Ravaglia,29,66,67,1K,1009,Right,1,1,1,GK,6'0,185lbs,838K
H. Alpsoy,21,66,77,4K,1684,Right,1,3,2,CDM,6'1,172lbs,2.1M
M. Migliorini,26,66,68,2K,1324,Right,1,2,2,CB,6'4,190lbs,1.1M
Emílio Trevões,30,66,66,5K,1587,Left,1,4,3,ST,5'10,159lbs,1.2M
L. Bergsma,21,66,75,3K,1590,Right,1,4,2,CB,6'1,159lbs,1.5M
A. Marciniak,29,66,66,2K,1757,Left,1,2,2,LB,6'1,172lbs,641K
S. Kotysch,29,66,66,4K,1530,Right,1,2,2,CB,6'2,168lbs,750K
N. Peñailillo,26,66,67,1K,1909,Left,1,2,3,LB,6'0,165lbs,891K
Fu Huan,24,66,71,4K,1648,Right,1,4,2,RB,6'0,154lbs,1.6M
B. Emir,30,66,66,7K,1707,Left,1,2,2,LB,5'10,161lbs,950K
Flávio Triginho,34,66,66,7K,1608,Right,1,3,3,ST,5'8,146lbs,665K
D. Haas,34,66,66,2K,1039,Right,1,3,1,GK,6'2,196lbs,403K
Magno Novaes,35,66,66,1K,1104,Right,1,2,1,GK,6'0,187lbs,263K
S. Ferguson,26,66,66,5K,1818,Left,1,3,3,LM,5'9,146lbs,1.3M
S. Sinovic,31,66,66,2K,1653,Left,1,2,2,LB,5'10,170lbs,638K
B. Enobakhare,20,66,80,14K,1610,Right,1,3,4,RW,5'10,170lbs,
T. McMahon,32,66,66,4K,1770,Right,1,3,2,RB,5'11,159lbs,613K
E. Ba,25,66,69,3K,1734,Right,1,3,3,RDM,6'0,165lbs,1.2M
C. Ayala,32,66,66,1K,1727,Right,1,3,3,LDM,5'10,163lbs,506K
Manuel Sánchez,30,66,66,2K,1608,Left,1,2,2,CDM,6'1,172lbs,736K
O. Bulut,24,66,69,2K,1810,Right,1,4,2,LCM,5'10,152lbs,1.3M
R. Godínez,25,66,71,2K,1599,Right,1,3,2,CB,6'1,152lbs,1.3M
S. Anderson,32,66,66,2K,1401,Right,1,3,2,CB,5'11,159lbs,656K
A. Marchesano,27,66,67,5K,1750,Right,1,3,3,CM,5'6,137lbs,1.1M
E. Ndoj,21,66,75,1K,1746,Right,1,3,3,RCM,6'2,163lbs,1.7M
D. Rose,30,66,66,4K,1823,Left,1,4,3,CM,5'7,146lbs,1.1M
J. Oumari,29,66,66,2K,1489,Left,1,3,2,LCB,6'2,176lbs,625K
R. Festersen,31,66,66,5K,1780,Right,1,3,3,ST,5'9,165lbs,719K
J. Blayac,35,66,66,2K,1586,Right,1,3,3,ST,6'2,176lbs,525K
M. Ljujić,24,66,71,2K,1800,Left,1,2,3,CAM,6'1,165lbs,1.8M
R. Vodišek,19,66,79,1K,961,Right,1,3,1,GK,6'2,183lbs,2.3M
M. Marić,34,66,66,3K,1595,Right,1,4,2,RCB,6'2,196lbs,290K
L. Frecklington,32,66,66,6K,1849,Right,1,3,2,LCM,5'11,165lbs,831K
M. Awad,25,66,69,5K,1075,Right,1,2,1,GK,6'0,139lbs,1M
Dong Xuesheng,29,66,66,5K,1639,Right,1,4,2,ST,6'1,181lbs,1.4M
J. Düker,22,66,71,4K,1616,Left,1,3,3,CF,6'2,176lbs,1.4M
A. Dreyer,20,66,78,9K,1748,Left,1,3,3,RM,5'8,154lbs,2.4M
P. Estupiñán,20,66,76,9K,1601,Left,1,3,2,LB,5'9,152lbs,
D. Mast,26,66,67,3K,1620,Left,1,3,3,LM,6'1,174lbs,1.1M
Andoni López,22,66,77,5K,1549,Left,1,3,2,LB,6'2,168lbs,
F. Canales,31,66,66,2K,1189,Right,1,3,1,GK,6'0,165lbs,660K
S. Scappini,30,66,66,1K,1540,Right,1,3,3,RS,5'11,163lbs,969K
S. Nutz,26,66,68,4K,1806,Left,1,3,3,CAM,5'10,148lbs,1.2M
J. Byrne,22,66,74,1K,1813,Right,1,3,3,CM,5'9,161lbs,1.6M
Dilson Calegari,34,66,66,4K,1677,Left,1,3,2,CAM,5'10,165lbs,618K
Cris,34,66,66,3K,1797,Right,1,3,2,RDM,5'10,159lbs,420K
K. Pannewitz,26,66,67,1K,1674,Right,1,3,3,LDM,6'1,179lbs,1.1M
B. Kopacz,26,66,69,2K,1464,Right,1,3,2,RB,6'2,187lbs,962K
H. Patronen,34,66,66,1K,1540,Right,1,3,2,CB,6'0,176lbs,430K
A. Capello,22,66,72,8K,1628,Right,1,3,2,LS,6'0,165lbs,
He Guan,25,66,70,4K,1425,Right,1,3,2,RCB,5'11,174lbs,1.6M
V. Skjerve,30,66,66,2K,1680,Right,1,3,2,CB,6'2,172lbs,594K
S. Williams,28,66,66,3K,1797,Right,1,3,2,RB,5'11,170lbs,750K
A. Hughes,26,66,68,4K,1600,Left,1,2,2,LB,6'3,179lbs,1.2M
M. Jansen,25,66,70,2K,1683,Right,1,3,2,CDM,5'10,163lbs,1.2M
R. Yates,20,66,79,10K,1761,Right,1,3,2,CM,6'3,170lbs,3.1M
D. Zeefuik,20,66,74,2K,1730,Right,1,3,2,RB,5'10,168lbs,1.4M
F. Della Rocca,30,66,66,2K,1793,Left,1,3,3,CM,6'0,170lbs,930K
Z. Alomerović,27,66,69,2K,1032,Right,1,2,1,GK,6'2,187lbs,784K
M. Gouaida,25,66,68,2K,1605,Left,1,3,3,LM,5'10,159lbs,1.3M
S. Adekugbe,23,66,73,1K,1675,Left,1,2,3,LB,5'9,165lbs,1.1M
N. Molina,20,66,76,4K,1668,Right,1,3,2,RB,5'9,154lbs,
M. Maâzou,29,66,66,4K,1726,Right,1,2,2,RM,6'2,176lbs,1.1M
M. Lieder,28,66,66,5K,1597,Right,1,4,3,ST,6'2,187lbs,844K
W. Kaptoum,21,66,77,5K,1765,Right,1,3,3,CM,5'7,159lbs,2.5M
M. Finotto,25,66,71,5K,1626,Left,1,2,2,LS,6'0,159lbs,
P. Becker,25,66,69,5K,1705,Right,1,3,3,RM,5'8,159lbs,
D. Rangelov,35,66,66,1K,1742,Right,1,2,3,LS,6'0,176lbs,435K
M. Oxley,27,66,66,2K,1093,Right,1,2,1,GK,6'3,161lbs,744K
B. Coker,29,66,66,3K,1748,Left,1,3,3,LB,5'11,163lbs,831K
Sim Sang Min,25,66,70,2K,1708,Left,1,3,3,LB,5'8,154lbs,894K
H. Zuck,27,66,66,2K,1618,Left,1,3,3,LM,5'9,152lbs,979K
H. Zapata,23,66,75,1K,1634,Right,1,3,3,RM,6'0,170lbs,1.6M
C. Lines,32,66,66,4K,1746,Right,1,4,3,CM,6'2,174lbs,831K
M. Sollbauer,28,66,68,4K,1400,Right,1,3,2,RCB,6'2,190lbs,915K
R. Jansson,26,66,69,3K,1480,Left,1,3,2,LCB,6'2,192lbs,928K
A. Guido,24,66,73,5K,1761,Right,1,3,3,CM,5'10,170lbs,1.7M
I. González,26,66,67,3K,1744,Right,1,1,3,RB,5'10,165lbs,1.1M
H. Al Hazaa,26,66,67,9K,1540,Right,1,3,2,ST,5'9,141lbs,1.3M
F. Castillón,32,66,66,4K,1697,Right,1,3,2,RM,5'8,157lbs,725K
W. Harding,21,66,75,5K,1634,Right,1,3,2,RB,5'11,174lbs,1.8M
G. Tansey,29,66,66,3K,1927,Right,1,3,3,CDM,6'1,172lbs,875K
H. Ojamaa,27,66,66,2K,1728,Right,1,3,3,LF,5'9,165lbs,911K
M. Ríos,34,66,66,1K,1685,Right,1,4,2,RM,5'8,150lbs,439K
M. Tévez,21,66,77,5K,1668,Right,1,3,3,RW,5'7,152lbs,
E. Sosa,22,66,74,2K,1681,Right,1,3,3,CAM,5'7,165lbs,1.6M
T. Lapslie,22,66,74,4K,1706,Right,1,3,2,LDM,5'6,152lbs,1.6M
M. Sauer,24,66,71,3K,1662,Right,1,3,2,RB,5'10,154lbs,1.2M
R. Descamps,22,66,74,11K,857,Left,1,3,1,GK,6'4,174lbs,
J. Álvarez,22,66,74,4K,1603,Right,1,3,3,LM,5'9,157lbs,1.6M
A. Ludwig,25,66,73,4K,1666,Left,1,3,2,LCB,6'0,187lbs,1.1M
C. Dunne,25,66,68,2K,1661,Left,1,2,2,LCB,6'2,190lbs,1.2M
L. Rodríguez,24,66,71,2K,1863,Left,1,2,3,LB,5'6,157lbs,
J. Gómez,22,66,77,1K,1501,Right,1,3,2,CB,6'0,172lbs,1.6M
J. Aribo,21,66,77,3K,1766,Left,1,3,3,LCM,6'0,168lbs,2.1M
Gabriel,20,66,77,6K,1449,Left,1,2,2,CB,6'3,192lbs,2.1M
C. Machado,28,66,67,3K,1694,Right,1,3,2,CDM,5'8,154lbs,877K
L. Kruse,34,66,66,2K,1056,Right,1,3,1,GK,6'1,185lbs,377K
S. McConville,29,66,66,2K,1667,Right,1,3,3,LM,5'11,163lbs,1.1M
D. Drocco,29,66,66,5K,1872,Right,1,3,2,CM,5'6,154lbs,938K
A. Sušac,29,66,66,2K,1485,Right,1,3,2,RCB,6'1,176lbs,725K
M. Perlak,32,66,66,6K,1705,Right,1,3,3,CAM,5'7,132lbs,725K
B. Clarke,30,66,66,4K,1724,Left,1,2,3,ST,5'7,141lbs,1.1M
Eduardo,25,66,67,3K,1509,Left,1,3,2,CB,6'0,185lbs,859K
K. Dawson,28,66,66,4K,1726,Right,1,3,2,RM,5'10,176lbs,1.1M
H. McGahey,22,66,74,2K,1524,Right,1,3,2,RCB,6'2,187lbs,1.6M
Gu Chao,28,66,68,5K,1174,Right,1,3,1,GK,6'4,190lbs,1.2M
R. Caballero,27,66,66,1K,1482,Left,1,3,2,ST,6'0,176lbs,911K
Ever Rodeiro,34,66,66,7K,1762,Right,1,3,3,CAM,5'8,157lbs,618K
X. Arreaga,23,66,71,0,1362,Right,1,3,2,CB,6'0,165lbs,
C. Cercado,29,66,66,3K,1588,Left,1,3,2,CB,5'7,150lbs,825K
H. Al Raheb,34,66,66,10K,1577,Right,1,3,2,ST,5'6,139lbs,578K
C. Schuler,30,66,66,2K,1407,Left,1,2,2,CB,6'4,205lbs,713K
S. Mantom,26,66,68,3K,1736,Right,1,3,2,RDM,5'9,154lbs,1.4M
O. Bouy,25,66,72,10K,1791,Left,1,4,3,LCB,5'11,174lbs,
J. Dongou Tsafack,23,66,73,3K,1640,Right,1,3,2,ST,5'9,154lbs,1.7M
P. Mainka,23,66,71,3K,1483,Right,1,3,2,RCB,6'4,190lbs,1.2M
A. Kantari,33,66,66,2K,1470,Left,1,3,2,LCB,6'1,172lbs,455K
T. Mavromatis,21,66,74,1K,1474,Left,1,2,2,LCB,6'1,170lbs,2M
Li Lei,26,66,68,5K,1705,Left,1,3,2,LB,6'0,146lbs,1.4M
Raphael Doninho,30,66,66,8K,1759,Right,1,3,3,CAM,5'6,141lbs,1.1M
K. Bülow,32,66,66,1K,1585,Right,1,3,2,LDM,6'2,179lbs,544K
R. Magyar,27,66,67,3K,1538,Right,1,2,2,LCB,6'4,187lbs,975K
F. Brillant,33,66,66,2K,1448,Right,1,3,2,RCB,6'2,181lbs,390K
K. Tamada,38,66,66,2K,1711,Left,1,3,3,RF,5'8,148lbs,275K
M. Ballmert,24,66,69,1K,1631,Right,1,3,2,RB,5'8,150lbs,1M
M. Laínez,22,66,72,2K,1767,Left,1,3,3,RM,5'7,146lbs,1.6M
K. Mayi,25,66,70,3K,1598,Right,1,3,3,ST,6'0,172lbs,1.6M
N. Manfredini,30,66,66,1K,1043,Right,1,2,1,GK,6'3,176lbs,659K
K. Koizumi,23,66,72,3K,1679,Right,1,3,2,RB,5'8,152lbs,1.1M
C. Aneke,24,66,71,5K,1767,Right,1,3,3,ST,6'3,183lbs,1.6M
Juan Cruz,25,66,67,2K,1639,Left,1,3,2,LB,5'11,154lbs,1M
S. Olivarez,26,66,69,4K,1497,Left,1,3,2,CB,5'11,181lbs,
P. Gladon,26,66,67,19K,1578,Right,1,4,2,ST,6'2,183lbs,
E. Aydoğan,21,66,80,4K,1765,Left,1,4,2,CM,6'0,170lbs,3.7M
V. Pule,26,66,67,1K,1696,Left,1,3,3,LW,5'7,141lbs,1.7M
Daniel Fuzato,20,66,76,7K,940,Right,1,3,1,GK,6'3,194lbs,1.5M
G. Valverde,28,66,66,0,1548,Right,1,3,2,RCB,5'10,168lbs,
D. de Vries,37,66,66,7K,1098,Right,1,3,1,GK,6'3,212lbs,72K
A. Lithgow,30,66,66,2K,1486,Right,1,3,2,LCB,6'1,187lbs,831K
L. Nicholls,25,66,71,4K,1069,Right,1,3,1,GK,6'3,187lbs,1.1M
R. Teibert,25,66,70,2K,1785,Left,1,3,3,CDM,5'8,146lbs,1.1M
M. Figueroa,28,66,66,4K,1669,Right,1,3,3,ST,5'7,159lbs,979K
A. Nübel,21,66,78,4K,1104,Right,1,5,1,GK,6'4,190lbs,1.8M
Z. Al Sahafi,24,66,70,8K,1706,Right,1,2,2,CB,6'2,161lbs,1.2M
J. Schouten,21,66,73,2K,1711,Right,1,3,4,RDM,6'1,159lbs,1.5M
R. Rep,28,66,66,3K,1589,Left,1,4,3,CAM,5'10,159lbs,943K
M. Rubin,30,66,66,1K,1764,Left,1,3,2,LB,6'0,165lbs,760K
L. Guldan,35,66,66,2K,1527,Right,1,3,2,LCB,6'0,181lbs,203K
C. Telo,28,66,66,2K,1806,Right,1,5,3,LB,5'8,159lbs,625K
M. Pearson,24,66,70,3K,1632,Right,1,3,2,RCB,6'3,159lbs,1.3M
Ricardo Alves,27,66,69,2K,1654,Right,1,3,2,CB,6'0,172lbs,1.4M
T. Paredes,25,66,71,5K,1331,Right,1,2,2,CB,6'0,183lbs,1.1M
Kauã Reisende,26,66,66,4K,1563,Right,1,3,3,CAM,6'0,165lbs,1.3M
L. Madrigal,25,66,70,13K,1552,Right,1,3,2,ST,6'3,198lbs,1.5M
Augusto César,25,66,68,3K,1821,Right,1,2,3,CAM,5'10,152lbs,1.4M
D. Holm,32,66,66,2K,1873,Left,1,3,3,RDM,5'11,174lbs,594K
Y. Akimoto,30,66,66,1K,1093,Right,1,3,1,GK,6'0,185lbs,531K
J. Beckford,34,66,66,5K,1628,Right,1,4,2,ST,6'2,183lbs,613K
N. Crovetto,32,66,66,2K,1743,Left,1,3,2,LB,5'9,154lbs,473K
Y. Maruyama,29,66,66,3K,1535,Left,1,3,2,CB,6'0,168lbs,625K
B. Jatta,20,66,77,3K,1620,Right,1,3,2,LM,6'0,174lbs,2M
G. Merebashvili,31,66,66,2K,1673,Right,1,3,3,LM,5'10,165lbs,776K
D. Vaughan,35,66,66,4K,1781,Left,1,3,2,CDM,5'6,154lbs,263K
T. Mauricio,24,66,72,2K,1646,Left,1,3,3,RM,5'7,148lbs,1.7M
K. Dougall,25,66,68,3K,1688,Right,1,4,3,CDM,6'0,174lbs,1.2M
D. Arreola,32,66,66,3K,1893,Left,1,3,3,LCB,5'11,159lbs,638K
J. Cousins,24,66,68,3K,1780,Right,1,3,3,CM,5'10,159lbs,1.5M
J. Duma,24,66,68,1K,1611,Right,1,4,3,RW,5'9,163lbs,1.1M
T. Spurr,30,66,66,4K,1719,Left,1,3,2,LB,6'1,159lbs,
J. Martínez,23,66,74,2K,1624,Right,1,3,2,ST,5'11,159lbs,1.7M
C. Schoppenhauer,26,66,68,5K,1346,Right,1,2,2,CB,6'1,170lbs,1.1M
L. Roberts,23,66,72,2K,1158,Left,1,3,1,GK,6'4,181lbs,1.3M
M. Pellegrini,18,66,83,2K,1690,Left,1,3,3,LM,5'9,152lbs,2.8M
C. Schwegler,34,66,66,4K,1729,Right,1,3,2,RB,5'9,163lbs,261K
K. Petersen,33,66,66,4K,1469,Right,1,3,2,CB,6'2,183lbs,325K
J. Vet,24,66,69,2K,1740,Right,1,3,2,CDM,6'3,187lbs,1M
H. Kawano,28,66,66,2K,1808,Left,1,3,3,RM,5'6,143lbs,813K
F. Stokkers,22,66,71,3K,1536,Right,1,3,2,ST,6'1,174lbs,1.3M
G. Gómez,22,66,75,4K,964,Right,1,2,1,GK,6'3,218lbs,1.3M
M. Lund,27,66,66,4K,1824,Right,1,3,2,LCM,6'0,168lbs,1.1M
M. Jankowski,28,66,66,2K,1791,Right,1,3,3,ST,5'11,150lbs,878K
A. Maisonnial,20,66,79,4K,1127,Right,1,3,1,GK,6'2,163lbs,2.1M
M. Lugo,28,66,66,5K,1714,Left,1,3,3,RCM,5'10,161lbs,943K
D. Niwa,32,66,66,3K,1428,Right,1,3,2,CB,5'11,159lbs,469K
C. Riegler,26,66,69,4K,984,Right,1,2,1,GK,6'1,183lbs,839K
R. Lundqvist,21,66,75,3K,1628,Right,1,3,3,CAM,5'10,163lbs,1.6M
S. Muniru,25,66,71,4K,1728,Right,1,3,2,CDM,5'10,161lbs,1.5M
Zhang Lu,30,66,66,5K,1130,Right,1,3,1,GK,6'4,187lbs,914K
J. Reeves,25,66,71,4K,1791,Right,1,3,3,CM,5'7,154lbs,1.6M
E. Ward,33,66,66,5K,1425,Right,1,3,2,LCB,6'1,183lbs,455K
J. Tamm,26,66,69,2K,1594,Left,1,2,2,LCB,6'4,214lbs,894K
M. Heylen,24,66,70,4K,1539,Right,1,3,2,RCB,6'2,181lbs,1.1M
G. Gallon,25,66,70,2K,1063,Right,1,2,1,GK,6'1,174lbs,1.1M
T. Adarabioyo,20,66,76,6K,1417,Right,1,3,2,CB,6'5,176lbs,1.9M
L. Martin,31,66,66,4K,1823,Right,1,4,3,LM,5'11,176lbs,1M
F. Ferrari,22,66,71,5K,1559,Right,1,3,2,ST,6'3,176lbs,
Trujillo,30,66,66,3K,1539,Right,1,3,2,CB,5'10,174lbs,736K
Kim Yong Dae,38,66,66,1K,1153,Right,2,3,1,GK,6'2,179lbs,50K
E. Babayan,22,66,72,3K,1790,Right,1,4,3,LM,5'11,161lbs,1.3M
Diogo Santos,33,66,66,2K,1555,Right,1,2,2,CDM,6'3,185lbs,546K
T. Borevković,21,66,75,2K,1395,Right,1,3,2,RCB,6'4,190lbs,2M
J. Jacobson,31,66,66,3K,1807,Left,1,3,2,LB,5'11,174lbs,744K
Benja,30,66,66,3K,1588,Right,1,3,2,ST,6'2,183lbs,969K
D. Phillips,23,66,75,3K,1087,Right,1,3,1,GK,6'2,168lbs,1.5M
G. Aburjania,23,66,73,4K,1767,Right,1,5,3,CDM,6'1,172lbs,
J. Riley,21,66,75,3K,1746,Right,1,3,3,RB,6'0,157lbs,1.7M
A. Matějů,22,66,73,10K,1731,Right,1,3,3,RB,6'0,174lbs,
Filipe Brigues,27,66,66,3K,1730,Right,1,3,2,RB,5'10,159lbs,1.1M
J. Zelený,25,66,69,1K,1639,Left,1,3,2,LB,6'3,179lbs,1.5M
S. Svendsen,20,66,75,2K,1773,Right,1,4,3,ST,5'8,148lbs,1.5M
J. Moreno,21,66,77,1K,1356,Left,1,3,2,CB,6'2,172lbs,1.5M
R. Bushiri,18,66,82,2K,1382,Right,1,3,2,CB,6'2,201lbs,
H. Rivero,25,66,69,1K,1474,Right,1,3,2,ST,6'4,187lbs,1.2M
M. Grella,31,66,66,3K,1775,Right,1,3,3,LM,5'11,181lbs,863K
I. Lanni,28,66,67,1K,1121,Right,1,2,1,GK,6'1,168lbs,853K
A. Sané,25,66,69,3K,1598,Right,1,2,2,ST,6'0,161lbs,1.5M
F. Castillo,28,66,66,1K,1607,Left,1,3,2,LB,5'9,154lbs,675K
M. Galmarini,36,66,66,3K,1883,Right,1,3,3,RM,5'11,170lbs,105K
A. Monfray,27,66,66,2K,1708,Right,1,3,2,RB,6'1,168lbs,919K
B. Castillo,40,66,66,1K,1058,Right,1,1,1,GK,6'1,190lbs,54K
S. Diop,18,66,87,8K,1602,Right,1,3,3,CAM,5'5,121lbs,4.2M
Yin Hongbo,28,66,66,5K,1751,Left,1,4,3,RM,5'11,165lbs,1.4M
A. Hainault,32,66,66,2K,1625,Right,1,5,2,LCB,6'0,176lbs,544K
D. Čotra,33,66,66,2K,1691,Left,1,3,2,LB,6'0,179lbs,338K
C. Washington,26,66,69,5K,1641,Right,1,3,2,ST,5'10,187lbs,1.6M
F. Nimani,29,66,66,3K,1606,Left,1,3,2,ST,6'3,192lbs,943K
M. Macey,23,66,74,14K,1054,Right,1,2,1,GK,6'6,179lbs,
M. Doyle,36,66,66,2K,1748,Left,1,3,2,LDM,5'10,157lbs,158K
D. Raum,20,66,77,2K,1603,Left,1,3,3,LM,5'11,165lbs,1.9M
V. Retamal,20,66,74,1K,1665,Right,1,2,3,RB,5'7,137lbs,1.3M
A. Cruz,20,66,77,2K,1673,Left,1,2,2,LB,5'8,137lbs,1.8M
M. Bruscagin,28,66,66,2K,1457,Right,1,3,2,CB,6'0,154lbs,814K
C. Morris,22,66,74,8K,1605,Right,1,3,2,ST,6'1,187lbs,2M
A. Syhre,23,66,72,2K,1375,Right,1,3,2,CB,6'2,183lbs,1.2M
L. Paz,29,66,66,1K,1755,Right,1,3,2,CDM,5'9,154lbs,700K
L. Dos Santos,25,66,69,2K,1676,Right,1,3,3,LB,5'10,154lbs,1.2M
A. Akinfenwa,36,66,66,2K,1586,Right,1,3,2,LS,5'10,243lbs,403K
Jin Jingdao,26,66,67,6K,1845,Right,1,3,3,RM,5'7,146lbs,1.7M
F. Bonazzoli,21,66,74,8K,1572,Left,1,3,3,RS,6'0,170lbs,
B. Tetteh,20,66,76,1K,1563,Right,1,4,3,LS,6'4,203lbs,2.5M
J. Grot,20,66,75,10K,1617,Right,1,3,3,LW,6'4,216lbs,
G. Notsuda,24,66,70,3K,1716,Left,1,4,3,RF,5'9,157lbs,
D. Jones,21,66,77,2K,1759,Left,1,3,2,CDM,6'4,165lbs,1.7M
N. Hansen,23,66,71,2K,1720,Right,1,3,3,RM,5'10,170lbs,1.3M
T. Beltran,30,66,66,2K,1768,Right,1,3,2,RB,5'8,150lbs,713K
D. Peitz,33,66,66,4K,1533,Left,1,3,2,CDM,6'5,201lbs,403K
D. Starkl,24,66,69,4K,1690,Right,1,4,2,LM,5'9,154lbs,1.3M
D. Erdmann,27,66,66,4K,1600,Right,1,4,2,CB,6'2,190lbs,853K
J. Vela,25,66,69,1K,1608,Left,1,4,3,CAM,5'9,152lbs,1.1M
A. Jakobsen,24,66,73,2K,1765,Right,1,3,4,CM,5'11,161lbs,1.3M
J. Segura,21,66,79,9K,1382,Right,1,3,2,CB,6'2,176lbs,
R. Miller,33,66,66,2K,1787,Left,1,3,3,CB,6'2,165lbs,390K
U. Cardona,19,66,76,3K,1677,Left,1,3,2,LM,5'10,148lbs,1.9M
J. Karacan,29,66,66,5K,1862,Right,1,3,3,CM,5'9,148lbs,1.2M
L. Saldaña,28,66,66,1K,1774,Left,1,3,2,LB,5'7,146lbs,675K
G. Roberts,34,66,66,15K,1689,Left,1,3,3,LM,5'10,163lbs,618K
K. Bennett,27,66,66,4K,1682,Right,1,3,4,LM,5'5,134lbs,1.2M
C. Tanner,23,66,69,2K,1698,Left,1,3,3,RM,5'9,146lbs,1.5M
S. Ernst,23,66,73,3K,1712,Left,1,3,3,LDM,5'10,150lbs,1.6M
B. Akintola,22,66,74,6K,1656,Right,1,4,3,RM,5'10,152lbs,
A. Taylor,31,66,66,3K,1710,Left,1,3,3,LB,5'10,152lbs,808K
K. Yonekura,30,66,66,4K,1534,Right,1,3,2,RB,5'9,150lbs,594K
Rúben Vinagre,19,66,82,7K,1778,Left,1,2,4,LWB,5'9,141lbs,3.1M
